INFO 2025-07-18 20:06:23,336 autoreload Watching for file changes with StatReloader
DEBUG 2025-07-18 20:06:23,337 autoreload Waiting for apps ready_event.
DEBUG 2025-07-18 20:06:23,422 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-07-18 20:06:23,436 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\templates with glob **/*.
DEBUG 2025-07-18 20:06:23,436 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\unfold\templates with glob **/*.
DEBUG 2025-07-18 20:06:23,438 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\paypal\standard\ipn\templates with glob **/*.
DEBUG 2025-07-18 20:06:23,438 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-07-18 20:06:23,439 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,440 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\unfold\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,440 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,441 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,441 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,441 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\paypal\standard\ipn\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,442 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\account\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,443 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\stories\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,443 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\cart\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,446 autoreload Watching dir C:\Users\Omar Faruk\Desktop\Main---1\checkout\locale with glob **/*.mo.
DEBUG 2025-07-18 20:06:23,812 autoreload File C:\Python 3.11.9\Lib\concurrent\futures\__init__.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:06:23,813 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1750649297.0655174
DEBUG 2025-07-18 20:06:23,813 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\django\apps\config.py first seen with mtime 1750649279.2183688
DEBUG 2025-07-18 20:06:23,813 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1750649283.1738136
DEBUG 2025-07-18 20:06:23,814 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1750649283.2050562
DEBUG 2025-07-18 20:06:23,814 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\cart\forms.py first seen with mtime 1749953386.543702
DEBUG 2025-07-18 20:06:23,815 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\sqlparse\sql.py first seen with mtime 1750649275.5931416
DEBUG 2025-07-18 20:06:23,815 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\urllib3\filepost.py first seen with mtime 1750649274.4525166
DEBUG 2025-07-18 20:06:23,815 autoreload File C:\Python 3.11.9\Lib\asyncio\coroutines.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:06:23,816 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1750649279.233989
DEBUG 2025-07-18 20:06:23,816 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\django\core\management\sql.py first seen with mtime 1750649283.0579574
DEBUG 2025-07-18 20:06:23,816 autoreload File C:\Python 3.11.9\Lib\ipaddress.py first seen with mtime 1712040174.0
DEBUG 2025-07-18 20:06:23,817 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1750649275.5866027
DEBUG 2025-07-18 20:06:23,817 autoreload File C:\Users\Omar Faruk\Desktop\Main---1\env\Lib\site-packages\django\template\loaders\cached.py first seen with mtime 1750649283.3430495
